Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,89.570000,90.570000,74.440002,74.800003,74.800003,98401800
2020-02-01,75.489998,82.720001,60.830002,61.590000,61.590000,99928300
2020-03-01,61.130001,63.529999,17.799999,31.549999,31.549999,472476700
2020-04-01,29.510000,34.040001,21.559999,29.580000,29.580000,847463100
2020-05-01,28.100000,32.750000,18.180000,28.040001,28.040001,1157715300
2020-06-01,28.190001,48.950001,27.950001,34.610001,34.610001,1791841200
2020-07-01,36.919998,38.369999,29.230000,31.379999,31.379999,1119286400
2020-08-01,31.330000,39.860001,30.320000,36.000000,36.000000,759561000
2020-09-01,35.250000,39.770000,31.219999,34.750000,34.750000,587342300
2020-10-01,35.230000,38.099998,32.160000,33.860001,33.860001,493070800
2020-11-01,34.080002,46.759998,32.950001,45.049999,45.049999,443920300
2020-12-01,45.830002,51.310001,42.430000,43.250000,43.250000,379409800
2021-01-01,43.680000,46.799999,39.770000,39.990002,39.990002,279459200
2021-02-01,40.349998,55.869999,39.169998,52.680000,52.680000,302408500
2021-03-01,55.439999,63.700001,46.560001,57.540001,57.540001,411079700
2021-04-01,57.660000,61.340000,48.900002,54.400002,54.400002,317117800
2021-05-01,54.669998,59.290001,50.900002,58.349998,58.349998,263618400
2021-06-01,59.119999,60.590000,51.669998,52.290001,52.290001,249227100
2021-07-01,52.790001,53.759998,42.560001,46.720001,46.720001,275847900
2021-08-01,46.849998,48.410000,43.169998,46.509998,46.509998,227251800
2021-09-01,46.750000,50.560001,43.020000,47.570000,47.570000,244890300
2021-10-01,48.900002,52.430000,45.439999,46.139999,46.139999,225349700
2021-11-01,46.180000,54.520000,40.110001,42.259998,42.259998,254050900
2021-12-01,43.029999,46.599998,38.880001,43.779999,43.779999,334699700
2022-01-01,44.669998,49.270000,38.790001,42.880001,42.880001,246471000
2022-02-01,43.009998,50.939999,40.430000,44.400002,44.400002,241578300
2022-03-01,43.639999,46.860001,30.540001,46.360001,46.360001,437220600
2022-04-01,46.509998,53.119999,41.080002,50.500000,50.500000,297373400
2022-05-01,50.490002,52.130001,42.919998,43.180000,43.180000,113790400
