Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,58.930000,62.480000,55.430000,55.740002,55.357456,173131800
2020-02-01,56.200001,60.029999,45.029999,46.130001,45.813408,165222100
2020-03-01,46.220001,49.970001,19.100000,28.530001,28.530001,823679400
2020-04-01,26.590000,27.600000,20.760000,25.910000,25.910000,1351787400
2020-05-01,24.950001,27.850000,17.510000,25.209999,25.209999,1171815600
2020-06-01,25.330000,37.240002,25.080000,28.049999,28.049999,1333078400
2020-07-01,29.020000,29.850000,24.430000,24.969999,24.969999,571216100
2020-08-01,24.850000,32.209999,24.379999,30.850000,30.850000,463825600
2020-09-01,30.020000,35.070000,27.920000,30.580000,30.580000,464823400
2020-10-01,30.990000,34.040001,28.740000,30.639999,30.639999,365073100
2020-11-01,30.620001,42.189999,29.670000,40.250000,40.250000,386248000
2020-12-01,40.790001,43.759998,38.840000,40.209999,40.209999,276192900
2021-01-01,40.169998,42.639999,37.740002,37.959999,37.959999,252877700
2021-02-01,38.349998,50.200001,37.419998,47.939999,47.939999,253317100
2021-03-01,49.470001,52.279999,43.009998,48.279999,48.279999,311352900
2021-04-01,48.590000,51.820000,43.340000,46.919998,46.919998,262740100
2021-05-01,47.189999,48.200001,42.939999,47.680000,47.680000,219837000
2021-06-01,48.130001,48.540001,42.580002,43.259998,43.259998,228697100
2021-07-01,43.500000,44.540001,37.560001,39.900002,39.900002,280872300
2021-08-01,40.040001,41.799999,37.310001,40.439999,40.439999,252152500
2021-09-01,40.570000,45.060001,38.799999,42.610001,42.610001,225924300
2021-10-01,43.950001,46.000000,38.810001,39.130001,39.130001,246412100
2021-11-01,39.150002,45.520000,34.599998,36.200001,36.200001,276217900
2021-12-01,36.869999,39.889999,33.400002,39.080002,39.080002,347049900
2022-01-01,39.790001,42.540001,35.880001,39.689999,39.689999,276197700
2022-02-01,39.799999,45.139999,37.470001,39.919998,39.919998,265638700
2022-03-01,39.500000,40.259998,29.750000,39.570000,39.570000,419255300
2022-04-01,39.669998,46.270000,36.169998,43.029999,43.029999,329771400
2022-05-01,42.950001,43.970001,37.709999,37.889999,37.889999,109099900
