Date,Open,High,Low,Close,Adj Close,Volume
2020-05-28,257.869995,257.940002,253.889999,254.350006,245.737320,4957600
2020-05-29,253.270004,255.320007,250.679993,254.289993,245.679337,5082300
2020-06-01,253.779999,255.550003,252.699997,255.270004,246.626129,2060800
2020-06-02,256.549988,257.920013,255.710007,257.850006,249.118759,3045800
2020-06-03,260.350006,264.000000,259.660004,263.170013,254.258621,5184500
2020-06-04,262.369995,264.429993,261.390015,263.329987,254.413177,3937100
2020-06-05,270.399994,273.950012,269.790009,271.540009,262.345184,7866800
2020-06-08,272.899994,276.380005,272.899994,276.279999,266.924683,4667600
2020-06-09,273.239990,275.019989,272.130005,273.380005,264.122864,4632600
2020-06-10,273.200012,274.179993,270.010010,270.459991,261.301788,6531200
2020-06-11,262.140015,263.510010,251.380005,252.029999,243.495850,14257800
2020-06-12,259.000000,260.320007,251.429993,256.739990,248.046341,9817200
2020-06-15,250.289993,259.600006,249.100006,258.350006,249.601852,7421300
2020-06-16,267.089996,267.140015,258.690002,263.820007,254.886597,9238000
2020-06-17,264.609985,264.700012,261.260010,261.820007,252.954300,3669300
2020-06-18,260.040009,262.260010,259.109985,261.450012,252.596878,3268700
2020-06-19,264.209991,264.459991,257.609985,258.799988,250.758820,5852600
2020-06-22,257.880005,260.579987,256.679993,260.320007,252.231598,2823500
2020-06-23,262.829987,263.149994,261.019989,261.500000,253.374924,2948000
2020-06-24,259.220001,259.519989,252.940002,254.630005,246.718353,5903500
2020-06-25,253.339996,257.709991,252.059998,257.440002,249.441055,4312300
2020-06-26,255.649994,256.049988,249.699997,250.380005,242.600449,5331400
2020-06-29,252.179993,256.119995,250.949997,255.910004,247.958618,3759000
2020-06-30,255.070007,259.049988,254.720001,257.869995,249.857651,3667900
2020-07-01,258.869995,260.260010,257.140015,257.309998,249.315109,3575300
2020-07-02,261.149994,262.170013,257.880005,258.420013,250.390640,3830000
2020-07-06,262.160004,263.049988,260.869995,263.000000,254.828278,2989100
2020-07-07,261.100006,261.850006,258.779999,259.040009,250.991318,2828700
2020-07-08,259.640015,261.190002,258.250000,260.720001,252.619171,2837800
2020-07-09,260.869995,261.190002,255.350006,257.239990,249.247299,3995600
2020-07-10,257.200012,261.160004,256.459991,260.820007,252.716110,3110100
2020-07-13,263.059998,266.519989,260.579987,261.040009,252.929245,4876000
2020-07-14,260.540009,267.049988,260.100006,266.589996,258.306824,7614300
2020-07-15,270.470001,270.540009,267.049988,268.910004,260.554657,5220600
2020-07-16,267.160004,268.929993,266.019989,267.470001,259.159454,2478100
2020-07-17,267.950012,268.070007,266.170013,266.739990,258.656128,3415100
2020-07-20,266.390015,267.640015,265.029999,266.820007,258.733734,4017400
2020-07-21,268.820007,270.269989,267.649994,268.339996,260.207703,3173200
2020-07-22,267.820007,270.350006,267.769989,269.980011,261.797974,2039300
2020-07-23,269.640015,269.779999,265.619995,266.690002,258.607635,2838000
2020-07-24,265.149994,266.339996,264.049988,264.690002,256.668274,2637700
2020-07-27,264.769989,266.309998,264.350006,265.950012,257.890106,2637900
2020-07-28,264.920013,265.609985,263.630005,263.929993,255.931335,1989300
2020-07-29,264.190002,266.070007,263.799988,265.500000,257.453735,1917900
2020-07-30,262.480011,263.820007,259.940002,263.279999,255.301010,3055600
2020-07-31,263.760010,264.489990,260.179993,264.350006,256.338562,3306800
2020-08-03,265.670013,267.149994,265.350006,266.720001,258.636780,2569300
2020-08-04,266.290009,268.420013,266.029999,268.410004,260.275482,1909800
2020-08-05,269.989990,272.269989,269.899994,272.000000,263.756683,2122900
2020-08-06,271.630005,274.029999,271.570007,273.899994,265.599152,1948100
2020-08-07,273.230011,274.820007,272.480011,274.619995,266.297333,2311300
2020-08-10,275.510010,278.279999,275.480011,278.140015,269.710663,2313900
2020-08-11,280.899994,281.779999,276.470001,277.190002,268.789429,4546400
2020-08-12,279.839996,280.739990,278.720001,280.040009,271.553040,2641600
2020-08-13,279.130005,280.220001,278.230011,279.420013,270.951904,1668300
2020-08-14,278.230011,280.160004,277.899994,279.799988,271.320343,2247000
2020-08-17,280.140015,280.250000,278.500000,278.950012,270.496185,2436900
2020-08-18,279.100006,279.369995,277.109985,278.200012,269.768921,1678300
2020-08-19,278.679993,279.739990,276.970001,277.429993,269.022125,3374300
2020-08-20,276.040009,278.339996,275.869995,277.869995,269.448914,2063700
2020-08-21,277.040009,279.609985,276.859985,279.290009,271.415741,2601200
2020-08-24,281.720001,283.250000,280.470001,283.179993,275.196106,2622800
2020-08-25,284.230011,284.230011,281.019989,282.619995,274.651825,3346000
2020-08-26,282.609985,283.609985,281.570007,283.429993,275.439026,2647500
2020-08-27,284.440002,286.450012,283.679993,285.040009,277.003601,3432800
2020-08-28,286.230011,287.450012,285.000000,286.700012,278.616913,2715500
2020-08-31,286.260010,286.339996,283.890015,284.279999,276.265106,4070100
2020-09-01,283.730011,286.929993,283.170013,286.790009,278.704376,3023600
2020-09-02,288.079987,292.059998,287.600006,291.209991,282.999725,3464300
2020-09-03,290.970001,292.359985,281.100006,283.339996,275.351624,6118500
2020-09-04,284.910004,285.790009,277.010010,281.769989,273.825867,7145800
2020-09-08,278.820007,278.829987,275.010010,275.420013,267.654846,4780100
2020-09-09,278.089996,282.489990,277.390015,279.850006,271.959961,3488900
2020-09-10,281.130005,282.170013,274.850006,275.790009,268.014465,3455800
2020-09-11,276.950012,278.820007,274.959991,277.089996,269.277710,2787500
2020-09-14,278.920013,281.429993,278.670013,280.529999,272.620819,2371700
2020-09-15,282.420013,282.899994,279.880005,280.579987,272.669373,2331800
2020-09-16,281.540009,284.230011,280.779999,281.029999,273.106750,2651800
2020-09-17,277.690002,281.149994,277.089996,279.570007,271.687836,3305300
2020-09-18,279.019989,279.399994,274.769989,276.519989,269.366516,3156700
2020-09-21,271.579987,272.170013,267.049988,271.440002,264.417999,5936900
2020-09-22,271.670013,273.239990,269.790009,272.809998,265.752502,3169800
2020-09-23,274.179993,274.589996,267.079987,267.579987,260.657745,3575900
2020-09-24,266.859985,270.880005,265.269989,268.100006,261.164307,4432100
2020-09-25,266.760010,272.309998,266.230011,271.700012,264.671204,3606800
2020-09-28,275.260010,277.119995,274.720001,275.899994,268.762512,2790200
2020-09-29,275.600006,275.980011,273.290009,274.420013,267.320892,1971100
2020-09-30,275.000000,280.170013,275.000000,277.500000,270.321167,4028500
2020-10-01,279.329987,280.350006,276.570007,278.140015,270.944672,2968000
2020-10-02,274.170013,278.510010,273.600006,276.799988,269.639282,4771600
2020-10-05,278.790009,281.589996,278.750000,281.510010,274.227356,1862500
2020-10-06,282.540009,283.519989,277.239990,277.720001,270.535431,4364400
2020-10-07,280.279999,283.670013,280.230011,282.920013,275.600983,2422600
2020-10-08,284.519989,284.679993,282.690002,284.290009,276.935516,2148000
2020-10-09,285.609985,286.809998,284.410004,285.929993,278.533142,2549100
2020-10-12,286.950012,289.609985,286.679993,288.459991,280.997650,2534800
2020-10-13,287.660004,288.109985,286.019989,286.739990,279.322113,2430600
2020-10-14,287.220001,287.950012,284.579987,285.130005,277.753784,2264000
2020-10-15,282.029999,285.399994,281.660004,285.040009,277.666046,3128000
2020-10-16,286.239990,288.369995,285.890015,285.970001,278.686401,2409300
2020-10-19,286.640015,287.059998,281.279999,282.029999,274.846741,2837600
2020-10-20,283.160004,285.660004,282.250000,282.950012,275.743378,3339000
2020-10-21,282.540009,284.470001,281.829987,281.970001,274.788330,2907100
2020-10-22,282.100006,284.160004,280.299988,283.649994,276.425537,2324200
2020-10-23,284.450012,284.540009,281.510010,283.339996,276.123444,2161000
2020-10-26,280.140015,280.390015,273.700012,277.000000,269.944916,5140600
2020-10-27,276.950012,277.070007,274.600006,274.660004,267.664520,3029800
2020-10-28,269.000000,270.750000,265.019989,265.480011,258.718353,5815200
2020-10-29,265.130005,268.940002,262.809998,266.589996,259.800110,5479400
2020-10-30,265.029999,266.320007,261.410004,265.059998,258.308990,5271200
2020-11-02,268.899994,270.500000,266.929993,269.200012,262.343567,5062900
2020-11-03,272.660004,276.429993,272.200012,274.649994,267.654724,4343000
2020-11-04,275.899994,283.059998,275.559998,278.510010,271.416473,6766400
2020-11-05,282.290009,284.959991,282.070007,283.910004,276.678955,4316200
2020-11-06,283.950012,284.380005,281.890015,283.220001,276.006500,3078200
2020-11-09,298.609985,299.489990,291.390015,291.720001,284.290009,10839300
2020-11-10,293.299988,294.959991,291.399994,294.510010,287.008972,4354500
2020-11-11,296.070007,296.140015,292.929993,294.109985,286.619080,2910400
2020-11-12,292.220001,293.320007,289.190002,291.049988,283.637085,4361900
2020-11-13,292.970001,295.920013,292.420013,295.149994,287.632629,3090400
2020-11-16,299.279999,300.079987,297.570007,299.980011,292.339691,4615000
2020-11-17,297.309998,299.149994,295.600006,298.309998,290.712158,4049200
2020-11-18,299.200012,299.750000,294.760010,294.760010,287.252563,3566400
2020-11-19,294.059998,295.809998,292.899994,295.329987,287.808044,3266600
2020-11-20,294.220001,294.589996,292.200012,292.529999,285.710083,3090200
2020-11-23,294.260010,296.649994,293.480011,295.890015,288.991852,2855600
2020-11-24,298.940002,301.109985,298.299988,300.429993,293.425995,4022700
2020-11-25,299.950012,300.040009,298.049988,298.739990,291.775452,2629200
2020-11-27,299.440002,300.200012,298.170013,299.239990,292.263733,1518000
2020-11-30,297.519989,297.799988,294.750000,296.619995,289.704742,4159300
2020-12-01,299.730011,301.010010,298.179993,298.440002,291.482361,2841100
2020-12-02,297.100006,299.339996,296.350006,299.179993,292.205048,2481700
2020-12-03,299.380005,301.399994,299.049988,300.059998,293.064606,3140900
2020-12-04,300.739990,302.589996,300.600006,302.589996,295.535583,2747300
2020-12-07,301.769989,302.160004,300.000000,301.100006,294.080322,2589900
