Date,Close
1/1/20,80.790001
2/1/20,67.489998
3/1/20,48.700001
4/1/20,60.330002
5/1/20,64.629997
6/1/20,60.57
7/1/20,52.200001
8/1/20,60.790001
9/1/20,61.619999
10/1/20,59.27
11/1/20,72.949997
12/1/20,77.629997
1/1/21,72
2/1/21,86.089996
3/1/21,77.300003
4/1/21,83.989998
5/1/21,78.769997
6/1/21,75.25
7/1/21,75.230003
8/1/21,81.300003
9/1/21,78.550003
10/1/21,79.550003
11/1/21,81.690002
12/1/21,90.580002
1/1/22,88.639999
2/1/22,84.629997
3/1/22,84.480003
4/1/22,80.029999
5/1/22,70.019997
