Date,Open,High,Low,Close,Adj Close,Volume
4/14/20,2.21,2.37,2.14,2.18,2.18,11747900
4/15/20,2.15,2.46,2.02,2.41,2.41,11378000
4/16/20,2.35,2.49,2.15,2.44,2.44,6290800
4/17/20,3.85,3.85,3.05,3.2,3.2,26799900
4/20/20,3.22,3.44,3.06,3.18,3.18,10787200
4/21/20,3.2,3.38,3.15,3.25,3.25,5788400
4/22/20,3.39,3.39,3.16,3.18,3.18,4568600
4/23/20,3.2,3.25,3.08,3.11,3.11,4318800
4/24/20,3.14,3.2,3.02,3.05,3.05,3623700
4/27/20,3.19,3.4,3.06,3.36,3.36,5667200
4/28/20,3.82,4.75,3.5,4.14,4.14,21601100
4/29/20,4.54,5.53,4.47,5.19,5.19,27162400
4/30/20,5.01,5.09,4.5,4.92,4.92,11235600
5/1/20,4.62,4.7,4.3,4.57,4.57,6746800
5/4/20,4.11,4.78,4,4.3,4.3,5601400
5/5/20,4.67,4.69,3.81,3.89,3.89,7504500
5/6/20,4.08,4.1,3.83,3.92,3.92,3105700
5/7/20,4.01,4.18,3.95,3.99,3.99,4105800
5/8/20,4.14,4.22,4.04,4.1,4.1,3571200
5/11/20,6.4,6.41,4.89,5.32,5.32,106553300
5/12/20,5.77,5.84,4.91,5.12,5.12,19681900
5/13/20,5.02,5.03,4.51,4.6,4.6,10433400
5/14/20,4.25,4.65,4.08,4.55,4.55,5920500
5/15/20,4.47,4.62,4.44,4.52,4.52,3483200
5/18/20,4.8,4.93,4.63,4.72,4.72,6036900
5/19/20,4.82,4.98,4.5,4.56,4.56,4929800
5/20/20,4.69,4.75,4.59,4.66,4.66,3489500
5/21/20,4.68,4.79,4.55,4.63,4.63,4555000
5/22/20,4.66,4.68,4.56,4.58,4.58,2408800
5/26/20,4.8,5.14,4.7,5.11,5.11,8864100
5/27/20,5.48,5.65,5.11,5.6,5.6,7862400
5/28/20,5.65,5.68,5.02,5.07,5.07,6590200
5/29/20,5,5.38,4.83,5.13,5.13,5153000
6/1/20,5.03,5.37,5.02,5.31,5.31,3913100
6/2/20,5.35,5.65,5.33,5.59,5.59,6877800
6/3/20,5.27,5.99,5.09,5.45,5.45,15353700
6/4/20,5.17,5.4,5,5.38,5.38,8572600
6/5/20,5.78,6.15,5.64,5.91,5.91,9240900
6/8/20,6.27,6.84,6.17,6.45,6.45,8587100
6/9/20,6.1,6.19,5.56,5.99,5.99,7394300
6/10/20,7.3,7.35,6.28,6.29,6.29,15322600
6/11/20,5.53,5.65,5,5.17,5.17,9179400
6/12/20,5.69,5.93,5.22,5.89,5.89,7352900
6/15/20,5.42,5.93,5.3,5.8,5.8,5541400
6/16/20,6.02,6.06,5.5,5.56,5.56,5911900
6/17/20,5.41,5.63,5.31,5.42,5.42,3030800
6/18/20,5.35,5.72,5.34,5.63,5.63,5619700
6/19/20,6.2,6.25,5.46,5.52,5.52,13137400
6/22/20,5.48,5.48,5.21,5.33,5.33,4412800
6/23/20,5.37,5.4,5.04,5.1,5.1,5699300
6/24/20,4.99,5.12,4.51,4.79,4.79,8104100
6/25/20,4.57,4.59,4.17,4.27,4.27,8251400
6/26/20,4.26,4.69,4.15,4.18,4.18,5601000
6/29/20,3.91,4.44,3.75,4.42,4.42,9321600
6/30/20,4.34,4.36,4.21,4.29,4.29,3653400
7/1/20,4.26,4.6,4.26,4.57,4.57,4914500
7/2/20,4.69,4.69,4.47,4.53,4.53,3908400
7/6/20,4.62,4.64,4.13,4.28,4.28,5489700
7/7/20,4.18,4.29,4.08,4.13,4.13,2667600
7/8/20,4.49,4.52,4.2,4.43,4.43,5586800
7/9/20,4.48,4.6,4.18,4.57,4.57,4225700
7/10/20,4.39,4.6,4.38,4.6,4.6,3306100
7/13/20,4.76,4.82,4.25,4.26,4.26,4464800
7/14/20,4.25,4.27,4.1,4.22,4.22,3291400
7/15/20,4.37,4.58,4.22,4.5,4.5,4830700
7/16/20,4.33,4.48,4.31,4.38,4.38,1997500
7/17/20,4.36,4.37,4.2,4.27,4.27,2101700
7/20/20,4.21,4.23,4.07,4.15,4.15,2393100
7/21/20,4.15,4.24,4.08,4.15,4.15,1925900
7/22/20,4.1,4.17,4,4.03,4.03,2798800
7/23/20,4.08,4.18,4,4.06,4.06,3614300
7/24/20,4,4.18,3.96,4,4,3282400
7/27/20,4.01,4.03,3.81,3.87,3.87,2980500
7/28/20,3.85,4.25,3.84,4.15,4.15,6226600
7/29/20,4.07,4.2,3.95,4.16,4.16,5489400
7/30/20,4.12,4.34,4.06,4.12,4.12,3699100
7/31/20,4.08,4.15,3.95,4.04,4.04,2584900
8/3/20,4.05,4.2,3.86,4.11,4.11,4047100
8/4/20,4.07,4.24,4.06,4.1,4.1,3267800
8/5/20,4.08,4.17,4.07,4.15,4.15,1691500
8/6/20,4.11,4.24,3.99,4.14,4.14,3742600
8/7/20,4.14,5.26,4.09,4.75,4.75,24917400
8/10/20,4.65,4.74,4.35,4.47,4.47,5048200
8/11/20,4.7,4.85,4.54,4.56,4.56,5794800
8/12/20,4.62,4.76,4.56,4.64,4.64,2457900
8/13/20,5.1,5.77,4.82,5.31,5.31,23259200
8/14/20,5.56,5.63,5.05,5.54,5.54,12055800
8/17/20,5.72,5.85,5.43,5.6,5.6,7159200
8/18/20,5.57,5.57,5.13,5.35,5.35,5790700
8/19/20,5.34,5.47,5.18,5.39,5.39,5728300
8/20/20,5.57,5.78,5.3,5.69,5.69,13728400
8/21/20,5.68,5.68,5.18,5.19,5.19,8216900
8/24/20,5.35,5.45,4.94,5.41,5.41,8498200
8/25/20,5.46,5.58,5.21,5.54,5.54,5296900
8/26/20,5.45,5.67,5.33,5.6,5.6,4419400
8/27/20,5.81,7.1,5.7,6.52,6.52,31921200
8/28/20,6.49,6.54,6.11,6.3,6.3,9882700
8/31/20,6.33,6.45,5.76,5.88,5.88,9820200
9/1/20,5.79,6.18,5.79,6.07,6.07,9524000
9/2/20,7.01,7.71,6.46,7.04,7.04,43056200
9/3/20,6.94,7.14,6.48,6.6,6.6,10626600
9/4/20,6.76,7.02,6.23,7.02,7.02,9328800
9/8/20,6.76,6.95,6.37,6.42,6.42,6667400
9/9/20,6.54,6.54,6.11,6.26,6.26,5578200
9/10/20,6.28,6.36,5.88,5.94,5.94,5881800
9/11/20,6.06,6.07,5.6,5.79,5.79,4863000
9/14/20,5.84,5.87,5.51,5.54,5.54,4638100
9/15/20,5.6,5.87,5.52,5.52,5.52,5099300
9/16/20,5.52,5.88,5.42,5.76,5.76,4380600
9/17/20,5.67,5.79,5.58,5.72,5.72,2619700
9/18/20,5.71,5.74,5.57,5.67,5.67,2428500
9/21/20,5.42,5.48,5.01,5.32,5.32,4563200
9/22/20,5.22,5.32,5.14,5.21,5.21,2090100
9/23/20,5.22,5.29,4.74,4.78,4.78,4285200
9/24/20,4.69,4.9,4.36,4.61,4.61,4569700
9/25/20,4.64,4.93,4.5,4.88,4.88,2375500
9/28/20,5.04,5.04,4.61,4.91,4.91,4676500
9/29/20,4.88,4.94,4.75,4.86,4.86,2520000
9/30/20,4.8,4.95,4.7,4.71,4.71,2515400
10/1/20,4.78,4.8,4.63,4.65,4.65,3223800
10/2/20,4.48,4.66,4.42,4.65,4.65,3576000
10/5/20,4.3,4.36,4.05,4.13,4.13,9468800
10/6/20,4.26,4.27,4.05,4.06,4.06,8404200
10/7/20,4.08,4.11,3.94,4.04,4.04,6917700
10/8/20,4.13,4.18,4.02,4.14,4.14,7868500
10/9/20,4.17,4.18,4.04,4.05,4.05,5021400
10/12/20,4.03,4.09,4,4.08,4.08,3245700
10/13/20,3.9,3.91,3.52,3.54,3.54,10164700
10/14/20,3.09,3.2,2.66,2.96,2.96,31709400
10/15/20,2.84,2.96,2.76,2.78,2.78,9808600
